Instance Hierarchy,Module Name,Fault Coverage (%),Test Coverage (%),Fault Coverage Loss (%),Test Coverage Loss (%),Total Fault Number,FC,!DT,DT,SR,UU,TI,BL,LR,UT
top_santiago_cpu,top_santiago_cpu,100.00,100.00,0.00,0.00,4362,4228,0,4228,134,0,0,0,0,0
top_santiago_cpu.uu_ctrl,control,100.00,100.00,0.00,0.00,554,516,0,516,38,0,0,0,0,0
top_santiago_cpu.uu_mem,memory,100.00,100.00,0.00,0.00,1654,1638,0,1638,16,0,0,0,0,0
top_santiago_cpu.uu_alu,alu,100.00,100.00,0.00,0.00,1096,1016,0,1016,80,0,0,0,0,0
top_santiago_cpu.uu_muxB,mux4_registered,100.00,100.00,0.00,0.00,256,256,0,256,0,0,0,0,0,0
top_santiago_cpu.uu_muxB.uu_rb,register_bank,100.00,100.00,0.00,0.00,80,80,0,80,0,0,0,0,0,0
top_santiago_cpu.uu_muxB.uu_mux4,mux4,100.00,100.00,0.00,0.00,176,176,0,176,0,0,0,0,0,0
top_santiago_cpu.uu_muxA,mux4_registered,100.00,100.00,0.00,0.00,256,256,0,256,0,0,0,0,0,0
top_santiago_cpu.uu_muxA.uu_rb,register_bank,100.00,100.00,0.00,0.00,80,80,0,80,0,0,0,0,0,0
top_santiago_cpu.uu_muxA.uu_mux4,mux4,100.00,100.00,0.00,0.00,176,176,0,176,0,0,0,0,0,0
